scientific_name,park_name,observations,category,common_names,conservation_status,missing_conservation_status,status_nb,common_names_length,last_common_name
Oryzopsis asperifolia,Bryce National Park,126,Vascular Plant,"Roughleaf Ricegrass, White-Grain Mountain-Rice Gras",Not Threatened,True,0,51,Gras
Juncus bufonius var. bufonius,Yellowstone National Park,255,Vascular Plant,Toad Rush,Not Threatened,True,0,9,Rush
Ulota crispa,Great Smoky Mountains National Park,108,Nonvascular Plant,Ulota Moss,Not Threatened,True,0,10,Moss
Podistera nevadensis,Yellowstone National Park,215,Vascular Plant,Nevada Podistera,Not Threatened,True,0,16,Podistera
Coragyps atratus,Yosemite National Park,150,Bird,Black Vulture,Not Threatened,True,0,13,Vulture
Mimulus angustatus,Bryce National Park,95,Vascular Plant,Purplelip Pansy Monkeyflower,Not Threatened,True,0,28,Monkeyflower
Tyto alba,Yellowstone National Park,235,Bird,"Barn Owl, Common Barn-Owl",Not Threatened,True,0,25,Barn-Owl
Piptatherum exiguum,Yosemite National Park,101,Vascular Plant,Little Ricegrass,Not Threatened,True,0,16,Ricegrass
Spilogale putorius,Yellowstone National Park,256,Mammal,Eastern Spotted Skunk,Not Threatened,True,0,21,Skunk
Physostegia virginiana,Yosemite National Park,183,Vascular Plant,"False Dragonhead, False Dragon-Head",Not Threatened,True,0,35,Dragon-Head
Hieracium gronovii,Great Smoky Mountains National Park,102,Vascular Plant,Hairy Hawkweed,Not Threatened,True,0,14,Hawkweed
Cymophyllus fraserianus,Yosemite National Park,132,Vascular Plant,Fraser's Sedge,Not Threatened,True,0,14,Sedge
Plagiomnium cuspidatum,Yellowstone National Park,252,Nonvascular Plant,Toothed Plagiomnium Moss,Not Threatened,True,0,24,Moss
Cynanchum laeve,Yellowstone National Park,236,Vascular Plant,Cynanchum,Not Threatened,True,0,9,Cynanchum
Empidonax alnorum,Yellowstone National Park,228,Bird,Alder Flycatcher,Not Threatened,True,0,16,Flycatcher
Clarkia rhomboidea,Bryce National Park,119,Vascular Plant,"Broadleaf Clarkia, Diamond Clarkia, Diamond Fairyfan",Not Threatened,True,0,52,Fairyfan
Adenocaulon bicolor,Yosemite National Park,130,Vascular Plant,American Trailplant,Not Threatened,True,0,19,Trailplant
Claytonia virginica,Yosemite National Park,146,Vascular Plant,"Narrow-Leaved Spring Beauty, Narrow-Leaved Spring-Beauty",Not Threatened,True,0,56,Spring-Beauty
Peltandra virginica,Yosemite National Park,128,Vascular Plant,"Arrow Arum, Green Arrow-Arum",Not Threatened,True,0,28,Arrow-Arum
Malaxis unifolia,Yellowstone National Park,259,Vascular Plant,"Adder's Mouth, Green Adder's-Mouth",Not Threatened,True,0,34,Adder's-Mouth
Arabis platysperma var. howellii,Yosemite National Park,135,Vascular Plant,Howell's Pioneer Rockcress,Not Threatened,True,0,26,Rockcress
Carex nebrascensis,Yosemite National Park,145,Vascular Plant,Nebraska Sedge,Not Threatened,True,0,14,Sedge
Luzula glabrata var. hitchcockii,Bryce National Park,143,Vascular Plant,Hitchcock's Smooth Woodrush,Not Threatened,True,0,27,Woodrush
Grindelia nana,Yellowstone National Park,236,Vascular Plant,Idaho Gumweed,Not Threatened,True,0,13,Gumweed
Viburnum dentatum,Bryce National Park,97,Vascular Plant,"Arrow-Wood, Southern Arrow-Wood",Not Threatened,True,0,31,Arrow-Wood
Carex swanii,Yosemite National Park,139,Vascular Plant,"Swan Sedge, Swan's Sedge",Not Threatened,True,0,24,Sedge
Corallorrhiza trifida,Yosemite National Park,146,Vascular Plant,"Early Coralroot, Yellow Coralroot",Not Threatened,True,0,33,Coralroot
Lysimachia fraseri,Yellowstone National Park,238,Vascular Plant,Fraser's Loosestrife,Species of Concern,False,2,20,Loosestrife
Arabis glabra var. glabra,Great Smoky Mountains National Park,38,Vascular Plant,"Rock Cress, Tower Rockcress",Not Threatened,True,0,27,Rockcress
Trifolium hybridum,Bryce National Park,75,Vascular Plant,Alsike Clover,Not Threatened,True,0,13,Clover
Saccharum alopecuroidum,Yellowstone National Park,247,Vascular Plant,Beardgrass,Not Threatened,True,0,10,Beardgrass
Epilobium oreganum,Bryce National Park,60,Vascular Plant,"Grants Pass Willowherb, Oregon Fireweed",Species of Concern,False,2,39,Fireweed
Epipactis gigantea,Bryce National Park,71,Vascular Plant,"Giant Helleborine, Stream Orchid",Not Threatened,True,0,32,Orchid
Hibiscus syriacus,Yosemite National Park,159,Vascular Plant,"Rose-Of-Sharon, Rose-Of-Sharon, Shrubby Althea",Not Threatened,True,0,46,Althea
Carduus acanthoides,Yosemite National Park,147,Vascular Plant,Spiny Plumeless Thistle,Not Threatened,True,0,23,Thistle
Streptopus lanceolatus var. lanceolatus,Bryce National Park,124,Vascular Plant,Twistedstalk,Not Threatened,True,0,12,Twistedstalk
Dicranodontium asperulum,Yellowstone National Park,279,Nonvascular Plant,Dicranodontium Moss,Not Threatened,True,0,19,Moss
Ochotona princeps,Great Smoky Mountains National Park,82,Mammal,"American Pika, Pika",Not Threatened,True,0,19,Pika
Lonicera flava,Bryce National Park,88,Vascular Plant,Yellow Honeysuckle,Not Threatened,True,0,18,Honeysuckle
Viola blanda var. palustriformis,Bryce National Park,97,Vascular Plant,"Large-Leaf White Violet, Large-Leaved Violet",Not Threatened,True,0,44,Violet
Rubus leucodermis,Bryce National Park,113,Vascular Plant,"Western Raspberry, Whitebark Raspberry",Not Threatened,True,0,38,Raspberry
Veronica americana,Bryce National Park,77,Vascular Plant,"American Speedwell, Brooklime",Not Threatened,True,0,29,Brooklime
Lamium amplexicaule,Yosemite National Park,153,Vascular Plant,"Common Deadnettle, Henbit",Not Threatened,True,0,25,Henbit
Bromus inermis var. inermis,Yosemite National Park,164,Vascular Plant,Smooth Brome,Not Threatened,True,0,12,Brome
Galium tinctorium,Great Smoky Mountains National Park,86,Vascular Plant,"Marsh Bedstraw, Stiff Marsh Bedstraw",Not Threatened,True,0,36,Bedstraw
Agrimonia rostellata,Yosemite National Park,148,Vascular Plant,"Beaked Agrimony, Woodland Agrimony",Not Threatened,True,0,34,Agrimony
Melica aristata,Great Smoky Mountains National Park,101,Vascular Plant,"Bearded Melicgrass, Bearded Oniongrass",Not Threatened,True,0,38,Oniongrass
Ribes nevadense,Bryce National Park,116,Vascular Plant,Sierra Currant,Not Threatened,True,0,14,Currant
Melica harfordii,Yosemite National Park,140,Vascular Plant,Harford's Oniongrass,Not Threatened,True,0,20,Oniongrass
Bromus tectorum,Great Smoky Mountains National Park,43,Vascular Plant,"Bromegrass, Cheat Grass",Not Threatened,True,0,23,Grass
Humulus lupulus,Yellowstone National Park,215,Vascular Plant,"Common Hop, Common Hops, Hops",Not Threatened,True,0,29,Hops
Sparganium emersum,Great Smoky Mountains National Park,75,Vascular Plant,European Bur-Reed,Not Threatened,True,0,17,Bur-Reed
Ctenidium molluscum,Great Smoky Mountains National Park,52,Nonvascular Plant,Mollusc Ctenidium Moss,Not Threatened,True,0,22,Moss
Thermopsis fraxinifolia,Great Smoky Mountains National Park,79,Vascular Plant,Bush-Pea,Not Threatened,True,0,8,Bush-Pea
Cryptantha fendleri,Bryce National Park,112,Vascular Plant,"Fendler's Cryptantha, Sanddune Catseye, Sanddune Cryptantha",Not Threatened,True,0,59,Cryptantha
Rubus alumnus,Yosemite National Park,156,Vascular Plant,"A Bramble, Blackberry",Not Threatened,True,0,21,Blackberry
Rana catesbeiana,Great Smoky Mountains National Park,88,Amphibian,American Bullfrog,Not Threatened,True,0,17,Bullfrog
Agrostis exarata,Bryce National Park,105,Vascular Plant,Spike Bentgrass,Not Threatened,True,0,15,Bentgrass
Rudbeckia californica var. californica,Bryce National Park,111,Vascular Plant,California Coneflower,Not Threatened,True,0,21,Coneflower
Erigeron elmeri,Yosemite National Park,105,Vascular Plant,Elmer's Erigeron,Not Threatened,True,0,16,Erigeron
Rubus ursinus,Bryce National Park,111,Vascular Plant,California Blackberry,Not Threatened,True,0,21,Blackberry
Linum virginianum,Yosemite National Park,133,Vascular Plant,Virginia Flax,Not Threatened,True,0,13,Flax
Lindernia dubia var. anagallidea,Bryce National Park,129,Vascular Plant,False Pimpernel,Not Threatened,True,0,15,Pimpernel
Percina aurantiaca,Bryce National Park,95,Fish,Tangerine Darter,Not Threatened,True,0,16,Darter
Hedysarum alpinum var. americanum,Yellowstone National Park,239,Vascular Plant,American Alpine Sweetvetch,Not Threatened,True,0,26,Sweetvetch
Pogonatum pensilvanicum,Yellowstone National Park,253,Nonvascular Plant,Pennsylvania Pogonatum Moss,Not Threatened,True,0,27,Moss
Mentzelia montana,Yellowstone National Park,280,Vascular Plant,"Mountain Blazingstar, Variegatedbract Blazingstar, Variegated-Bract Blazingstar",Not Threatened,True,0,79,Blazingstar
Toxicodendron diversilobum,Bryce National Park,95,Vascular Plant,Pacific Poison Oak,Not Threatened,True,0,18,Oak
Viola lanceolata,Great Smoky Mountains National Park,79,Vascular Plant,"Lance-Leaf Violet, Lance-Leaved Violet",Not Threatened,True,0,38,Violet
Tamias umbrinus,Great Smoky Mountains National Park,87,Mammal,Uinta Chipmunk,Not Threatened,True,0,14,Chipmunk
Pellaea glabella,Yellowstone National Park,221,Vascular Plant,Dwarf Cliffbrake,Not Threatened,True,0,16,Cliffbrake
Aesculus pavia,Yosemite National Park,164,Vascular Plant,Red Buckeye,Not Threatened,True,0,11,Buckeye
Egretta thula,Great Smoky Mountains National Park,66,Bird,Snowy Egret,Not Threatened,True,0,11,Egret
Aythya collaris,Yellowstone National Park,230,Bird,Ring-Necked Duck,Not Threatened,True,0,16,Duck
Commelina virginica,Yellowstone National Park,230,Vascular Plant,"Virginia Dayflower, Virginia Day-Flower",Not Threatened,True,0,39,Day-Flower
Poa pratensis,Great Smoky Mountains National Park,85,Vascular Plant,"Junegrass, Kentucky Bluegrass",Not Threatened,True,0,29,Bluegrass
Ranunculus hispidus var. nitidus,Yosemite National Park,137,Vascular Plant,"Carolina Buttercup, Northern Swamp Buttercup",Not Threatened,True,0,44,Buttercup
Eriogonum nudum var. nudum,Yellowstone National Park,248,Vascular Plant,Naked Buckwheat,Not Threatened,True,0,15,Buckwheat
Tridens flavus var. chapmanii,Yosemite National Park,110,Vascular Plant,Chapman's Purple Top,Not Threatened,True,0,20,Top
Spergula arvensis,Bryce National Park,95,Vascular Plant,"Corn Spurry, Devil's Gut, Field Spurry, Pickpurse, Sandweed",Not Threatened,True,0,59,Sandweed
Gayophytum heterozygum,Yellowstone National Park,267,Vascular Plant,"Dwarf Groundsmoke, Zigzag Groundsmoke",Not Threatened,True,0,37,Groundsmoke
Aplectrum hyemale,Yellowstone National Park,240,Vascular Plant,"Adam-And-Eve Orchid, Puttyroot",Not Threatened,True,0,30,Puttyroot
Platygyrium repens,Yosemite National Park,197,Nonvascular Plant,Platygyrium Moss,Not Threatened,True,0,16,Moss
Lamium purpureum,Great Smoky Mountains National Park,43,Vascular Plant,"Purple Deadnettle, Purple Dead-Nettle",Not Threatened,True,0,37,Dead-Nettle
Artemisia douglasiana,Yosemite National Park,146,Vascular Plant,"Douglas' Mugwort, Douglas' Sagewort",Not Threatened,True,0,35,Sagewort
Arenaria congesta var. suffrutescens,Great Smoky Mountains National Park,76,Vascular Plant,Suffrutescent Sandwort,Not Threatened,True,0,22,Sandwort
Carex aquatilis var. aquatilis,Great Smoky Mountains National Park,91,Vascular Plant,"Leafy Tussock Sedge, Water Sedge",Not Threatened,True,0,32,Sedge
Verbascum blattaria,Bryce National Park,95,Vascular Plant,"Moth Mullein, White Moth Mullein",Not Threatened,True,0,32,Mullein
Tringa solitaria,Yellowstone National Park,267,Bird,Solitary Sandpiper,Not Threatened,True,0,18,Sandpiper
Juncus tenuis,Yellowstone National Park,247,Vascular Plant,Poverty Rush,Not Threatened,True,0,12,Rush
Carex nervina,Yellowstone National Park,236,Vascular Plant,"Nerved Sedge, Sierra Sedge",Not Threatened,True,0,26,Sedge
Leskea gracilescens,Bryce National Park,94,Nonvascular Plant,Leskea Moss,Not Threatened,True,0,11,Moss
Aster eatonii,Yosemite National Park,167,Vascular Plant,Eaton's Aster,Not Threatened,True,0,13,Aster
Penstemon procerus var. formosus,Yellowstone National Park,276,Vascular Plant,"Pincushion Beardtongue, Pincushion Penstemon",Not Threatened,True,0,44,Penstemon
Notropis photogenis,Yellowstone National Park,294,Fish,Silver Shiner,Not Threatened,True,0,13,Shiner
Dianthus barbatus,Bryce National Park,85,Vascular Plant,"Sweet William, Sweet-William",Not Threatened,True,0,28,Sweet-William
Rhynchospora glomerata,Bryce National Park,104,Vascular Plant,Clustered Beaksedge,Not Threatened,True,0,19,Beaksedge
Allium brandegeei,Yellowstone National Park,239,Vascular Plant,Brandegee's Onion,Not Threatened,True,0,17,Onion
Carex styloflexa,Yellowstone National Park,274,Vascular Plant,"Bent Sedge, Sedge",Not Threatened,True,0,17,Sedge
Urtica dioica,Yellowstone National Park,225,Vascular Plant,Stinging Nettle,Not Threatened,True,0,15,Nettle
Agrostis stolonifera,Bryce National Park,101,Vascular Plant,Creeping Bentgrass,Not Threatened,True,0,18,Bentgrass
Salix geyeriana,Great Smoky Mountains National Park,57,Vascular Plant,Geyer's Willow,Not Threatened,True,0,14,Willow
Gymnopogon ambiguus,Yellowstone National Park,260,Vascular Plant,Bearded Skeletongrass,Not Threatened,True,0,21,Skeletongrass
Cypripedium parviflorum var. pubescens,Bryce National Park,70,Vascular Plant,Greater Yellow Lady's Slipper,Not Threatened,True,0,29,Slipper
Saxifraga nidifica,Great Smoky Mountains National Park,53,Vascular Plant,"Hooker's Saxifrage, Peak Saxifrage",Not Threatened,True,0,34,Saxifrage
Angelica arguta,Bryce National Park,120,Vascular Plant,"Angelica, Lyall's Angelica, Sharptooth Angelica",Not Threatened,True,0,47,Angelica
Neotoma cinerea,Bryce National Park,126,Mammal,Bushy-Tailed Woodrat,Not Threatened,True,0,20,Woodrat
Asclepias exaltata,Yosemite National Park,150,Vascular Plant,Poke Milkweed,Not Threatened,True,0,13,Milkweed
Callitriche palustris,Bryce National Park,69,Vascular Plant,"Spiny Waterstarwort, Spring Waterstarwort, Vernal Waterstarwort, Vernal Water-Starwort",Not Threatened,True,0,86,Water-Starwort
Lilium michauxii,Great Smoky Mountains National Park,73,Vascular Plant,Carolina Lily,Not Threatened,True,0,13,Lily
Steerecleus serrulatus,Yellowstone National Park,291,Nonvascular Plant,Steerecleus Moss,Not Threatened,True,0,16,Moss
Solidago nemoralis var. nemoralis,Bryce National Park,113,Vascular Plant,Gray Goldenrod,Not Threatened,True,0,14,Goldenrod
Philadelphus lewisii,Great Smoky Mountains National Park,68,Vascular Plant,Lewis' Mock Orange,Not Threatened,True,0,18,Orange
Clematis viorna,Great Smoky Mountains National Park,91,Vascular Plant,"Leatherflower, Vase-Vine Leather-Flower",Not Threatened,True,0,39,Leather-Flower
Plagiobothrys stipitatus var. micranthus,Yosemite National Park,181,Vascular Plant,Stalked Popcornflower,Not Threatened,True,0,21,Popcornflower
Erodium botrys,Bryce National Park,65,Vascular Plant,Longbeak Stork's Bill,Not Threatened,True,0,21,Bill
Philadelphus lewisii,Bryce National Park,95,Vascular Plant,Lewis' Mock Orange,Not Threatened,True,0,18,Orange
Piptatherum exiguum,Bryce National Park,94,Vascular Plant,Little Ricegrass,Not Threatened,True,0,16,Ricegrass
Delphinium polycladon,Yellowstone National Park,274,Vascular Plant,"Marsh Larkspur, Mountain Marsh Larkspur",Not Threatened,True,0,39,Larkspur
Lotus argophyllus var. fremontii,Yellowstone National Park,255,Vascular Plant,Fremont's Birdsfoot Trefoil,Not Threatened,True,0,27,Trefoil
Acanthus flammea,Great Smoky Mountains National Park,68,Bird,"Common Redpoll, Redpoll",Not Threatened,True,0,23,Redpoll
Stylophorum diphyllum,Yellowstone National Park,244,Vascular Plant,Celandine Poppy,Not Threatened,True,0,15,Poppy
Paronychia fastigiata,Great Smoky Mountains National Park,97,Vascular Plant,"Cluster-Stemmed Nail-Wort, Forked Chickweed",Not Threatened,True,0,43,Chickweed
Xerophyllum asphodeloides,Yellowstone National Park,297,Vascular Plant,Eastern Turkeybeard,Not Threatened,True,0,19,Turkeybeard
Opheodrys aestivus aestivus,Yosemite National Park,161,Reptile,Eastern Rough Green Snake,Not Threatened,True,0,25,Snake
Empidonax alnorum,Great Smoky Mountains National Park,62,Bird,Alder Flycatcher,Not Threatened,True,0,16,Flycatcher
Agrostis stolonifera,Yosemite National Park,122,Vascular Plant,Creeping Bentgrass,Not Threatened,True,0,18,Bentgrass
Lasiurus borealis,Yosemite National Park,134,Mammal,"Eastern Red Bat, Red Bat",Not Threatened,True,0,24,Bat
Solidago flaccidifolia,Bryce National Park,119,Vascular Plant,"Appalachian Golden-Rod, Thin-Leaved Goldenrod",Not Threatened,True,0,45,Goldenrod
Physaria acutifolia var. acutifolia,Yellowstone National Park,229,Vascular Plant,"Sharpleaf Twinpod, Southern Twinpod",Not Threatened,True,0,35,Twinpod
Rhus typhina,Great Smoky Mountains National Park,86,Vascular Plant,Staghorn Sumac,Not Threatened,True,0,14,Sumac
Athyrium filix-femina,Yosemite National Park,143,Vascular Plant,"Common Ladyfern, Ladyfern, Subarctic Ladyfern",Not Threatened,True,0,45,Ladyfern
Seiurus aurocapilla,Yellowstone National Park,216,Bird,Ovenbird,Not Threatened,True,0,8,Ovenbird
Callospermophilus lateralis,Great Smoky Mountains National Park,84,Mammal,Golden-Mantled Ground Squirrel,Not Threatened,True,0,30,Squirrel
Elymus sierrae,Yellowstone National Park,252,Vascular Plant,Sierra Wildrye,Not Threatened,True,0,14,Wildrye
Salix humilis var. tristis,Great Smoky Mountains National Park,80,Vascular Plant,Dwarf Willow,Not Threatened,True,0,12,Willow
Logfia arvensis,Great Smoky Mountains National Park,74,Vascular Plant,Field Cottonrose,Not Threatened,True,0,16,Cottonrose
Viburnum nudum var. cassinoides,Bryce National Park,88,Vascular Plant,"Northern Wild-Raisin, Wild Raisin",Not Threatened,True,0,33,Raisin
Amblystegium varium,Yellowstone National Park,274,Nonvascular Plant,Amblystegium Moss,Not Threatened,True,0,17,Moss
Draba lemmonii var. lemmonii,Yosemite National Park,168,Vascular Plant,"Granite Draba, Lemmon's Draba",Not Threatened,True,0,29,Draba
Oxalis dillenii,Yosemite National Park,174,Vascular Plant,"Dillen's Woodsorrel, Yellow Sorrel",Not Threatened,True,0,34,Sorrel
Carex whitneyi,Yellowstone National Park,276,Vascular Plant,"Whitney Sedge, Whitney's Sedge",Not Threatened,True,0,30,Sedge
Geum rossii var. turbinatum,Bryce National Park,105,Vascular Plant,Ross' Avens,Not Threatened,True,0,11,Avens
Blarina brevicauda,Great Smoky Mountains National Park,86,Mammal,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",Not Threatened,True,0,56,Shrew
Pycnanthemum tenuifolium,Yellowstone National Park,252,Vascular Plant,"Narrow-Leaved Mountain-Mint, Slender Mountain-Mint",Not Threatened,True,0,50,Mountain-Mint
Eupatorium rotundifolium var. rotundifolium,Great Smoky Mountains National Park,117,Vascular Plant,Roundleaf Thoroughwort,Not Threatened,True,0,22,Thoroughwort
Isoetes engelmannii,Yosemite National Park,146,Vascular Plant,"Appalachian Quillwort, Engelmann's Quillwort",Not Threatened,True,0,44,Quillwort
Carex appalachica,Bryce National Park,112,Vascular Plant,Appalachian Sedge,Not Threatened,True,0,17,Sedge
Hypnum pratense,Yellowstone National Park,235,Nonvascular Plant,Hypnum Moss,Not Threatened,True,0,11,Moss
Carex leavenworthii,Yellowstone National Park,244,Vascular Plant,Leavenworth Sedge,Not Threatened,True,0,17,Sedge
Rudbeckia laciniata var. digitata,Bryce National Park,77,Vascular Plant,Cutleaf Coneflower,Not Threatened,True,0,18,Coneflower
Delphinium hansenii ssp. hansenii,Yellowstone National Park,284,Vascular Plant,Eldorado Larkspur,Not Threatened,True,0,17,Larkspur
Tachycineta thalassina,Yellowstone National Park,243,Bird,Violet-Green Swallow,Not Threatened,True,0,20,Swallow
Cirriphyllum piliferum,Great Smoky Mountains National Park,85,Nonvascular Plant,A Moss,Not Threatened,True,0,6,Moss
Rorippa palustris ssp. fernaldiana,Bryce National Park,89,Vascular Plant,Fernald's Yellowcress,Not Threatened,True,0,21,Yellowcress
Anas cyanoptera,Yosemite National Park,104,Bird,Cinnamon Teal,Not Threatened,True,0,13,Teal
Agrostis mertensii,Great Smoky Mountains National Park,54,Vascular Plant,Northern Agrostis,Not Threatened,True,0,17,Agrostis
Triticum aestivum,Yosemite National Park,175,Vascular Plant,"Cultivated Wheat, Wheat",Not Threatened,True,0,23,Wheat
Potentilla recta,Yellowstone National Park,258,Vascular Plant,"Rough-Fruited Cinquefoil, Sulphur Cinquefoil",Not Threatened,True,0,44,Cinquefoil
Thermopsis villosa,Great Smoky Mountains National Park,57,Vascular Plant,"Hairy Bush-Pea, Hairy False-Lupine",Not Threatened,True,0,34,False-Lupine
Iva annua,Yellowstone National Park,233,Vascular Plant,Iva,Not Threatened,True,0,3,Iva
Erethizon dorsatum,Yellowstone National Park,219,Mammal,"Common Porcupine, Porcupine",Not Threatened,True,0,27,Porcupine
Psaltriparus minimus,Bryce National Park,77,Bird,Bushtit,Not Threatened,True,0,7,Bushtit
Wyethia helianthoides,Yellowstone National Park,295,Vascular Plant,"Sunflower Mule-Ears, Whitehead Wyethia",Not Threatened,True,0,38,Wyethia
Dryopteris cristata,Bryce National Park,105,Vascular Plant,"Crested Shield-Fern, Crested Woodfern",Not Threatened,True,0,37,Woodfern
Grimmia laevigata,Great Smoky Mountains National Park,88,Nonvascular Plant,Grimmia Dry Rock Moss,Not Threatened,True,0,21,Moss
Platylomella lescurii,Yellowstone National Park,293,Nonvascular Plant,Lescur's Platylomella Moss,Not Threatened,True,0,26,Moss
Pseudacris triseriata,Great Smoky Mountains National Park,77,Amphibian,"Striped Chorus Frog, Western Chorus Frog",Not Threatened,True,0,40,Frog
Spizella atrogularis,Yellowstone National Park,251,Bird,Black-Chinned Sparrow,Not Threatened,True,0,21,Sparrow
Polygonum erectum,Great Smoky Mountains National Park,79,Vascular Plant,"Erect Knotweed, Knotweed",Not Threatened,True,0,24,Knotweed
Phacelia humilis var. humilis,Great Smoky Mountains National Park,48,Vascular Plant,Low Phacelia,Not Threatened,True,0,12,Phacelia
Eragrostis spectabilis,Great Smoky Mountains National Park,67,Vascular Plant,"Purple Love-Grass, Tumblegrass",Not Threatened,True,0,30,Tumblegrass
Dryopteris cristata,Yosemite National Park,156,Vascular Plant,"Crested Shield-Fern, Crested Woodfern",Not Threatened,True,0,37,Woodfern
Agrostis capillaris,Great Smoky Mountains National Park,84,Vascular Plant,Rhode Island Bent,Not Threatened,True,0,17,Bent
Hypochaeris radicata,Yosemite National Park,157,Vascular Plant,"Cat's Ear, Spotted Cat's-Ear",Not Threatened,True,0,28,Cat's-Ear
Dichanthelium scabriusculum,Yosemite National Park,155,Vascular Plant,Panic Grass,Not Threatened,True,0,11,Grass
Weigela florida,Yosemite National Park,146,Vascular Plant,Weigela,Not Threatened,True,0,7,Weigela
Quercus douglasii,Bryce National Park,121,Vascular Plant,Blue Oak,Not Threatened,True,0,8,Oak
Berberis thunbergii,Great Smoky Mountains National Park,52,Vascular Plant,Japanese Barberry,Not Threatened,True,0,17,Barberry
Viola lobata ssp. integrifolia,Yellowstone National Park,266,Vascular Plant,Pine Violet,Not Threatened,True,0,11,Violet
Lilium michauxii,Yellowstone National Park,261,Vascular Plant,Carolina Lily,Not Threatened,True,0,13,Lily
Galium verum,Yosemite National Park,132,Vascular Plant,Yellow Spring Bedstraw,Not Threatened,True,0,22,Bedstraw
Sus scrofa,Great Smoky Mountains National Park,99,Mammal,"Feral Hog, Wild Pig",Not Threatened,True,0,19,Pig
Echinochloa crus-galli,Bryce National Park,112,Vascular Plant,Barnyard Grass,Not Threatened,True,0,14,Grass
Comptonia peregrina,Yosemite National Park,140,Vascular Plant,Sweet Fern,Not Threatened,True,0,10,Fern
Sabatia angularis,Great Smoky Mountains National Park,73,Vascular Plant,"Rose-Pink, Square-Stemmed Rose Pink",Not Threatened,True,0,35,Pink
Astilbe biternata,Yosemite National Park,157,Vascular Plant,"False Goat's Beard, False Goat's-Beard",Not Threatened,True,0,38,Goat's-Beard
Panax quinquefolius,Great Smoky Mountains National Park,56,Vascular Plant,Ginseng,Not Threatened,True,0,7,Ginseng
Cyperus flavescens,Yosemite National Park,140,Vascular Plant,"Pale Flatsedge, Yellow Flatsedge",Not Threatened,True,0,32,Flatsedge
Eumeces anthracinus,Yellowstone National Park,237,Reptile,Coal Skink,Not Threatened,True,0,10,Skink
Mephitis mephitis,Great Smoky Mountains National Park,63,Mammal,Striped Skunk,Not Threatened,True,0,13,Skunk
Bromus orcuttianus,Bryce National Park,92,Vascular Plant,"Orcutt Brome, Orcutt's Brome",Not Threatened,True,0,28,Brome
Hieracium albiflorum,Yellowstone National Park,259,Vascular Plant,"White Hawkweed, Whiteflower Hawkweed",Not Threatened,True,0,36,Hawkweed
Notropis rubricroceus,Great Smoky Mountains National Park,131,Fish,Saffron Shiner,Not Threatened,True,0,14,Shiner
Pedicularis lanceolata,Bryce National Park,126,Vascular Plant,Swamp Lousewort,Not Threatened,True,0,15,Lousewort
Polystichum lonchitis,Great Smoky Mountains National Park,82,Vascular Plant,"Hollyfern, Northern Hollyfern",Not Threatened,True,0,29,Hollyfern
Angelica pinnata,Yellowstone National Park,248,Vascular Plant,"Smallleaf Angelica, Small-Leaf Angelica",Not Threatened,True,0,39,Angelica
Branta bernicla,Bryce National Park,115,Bird,Brant,Not Threatened,True,0,5,Brant
Alyssum alyssoides,Great Smoky Mountains National Park,60,Vascular Plant,"Pale Alyssum, Pale Madwort, Yellow Alyssum",Not Threatened,True,0,42,Alyssum
Mentha X gracilis,Yellowstone National Park,263,Vascular Plant,Mint,Not Threatened,True,0,4,Mint
Clematis hirsutissima var. hirsutissima,Bryce National Park,127,Vascular Plant,Hairy Clematis,Not Threatened,True,0,14,Clematis
Chelydra serpentina serpentina,Yellowstone National Park,249,Reptile,Common Snapping Turtle,Not Threatened,True,0,22,Turtle
Oncophorus raui,Great Smoky Mountains National Park,76,Nonvascular Plant,Oncophorus Moss,Not Threatened,True,0,15,Moss
Cerastium fontanum,Yosemite National Park,194,Vascular Plant,"Common Chickweed, Common Mouse-Ear Chickweed, Mouse-Ear Chickweed",Not Threatened,True,0,65,Chickweed
Carex leavenworthii,Great Smoky Mountains National Park,48,Vascular Plant,Leavenworth Sedge,Not Threatened,True,0,17,Sedge
Eschscholzia californica,Bryce National Park,71,Vascular Plant,"California Goldenpoppy, California Poppy",Not Threatened,True,0,40,Poppy
Allium schoenoprasum,Yosemite National Park,143,Vascular Plant,"Wild Chive, Wild Chives",Not Threatened,True,0,23,Chives
Epilobium glaberrimum ssp. fastigiatum,Yellowstone National Park,253,Vascular Plant,"Glaucus Willowherb, Smooth Willowweed",Not Threatened,True,0,37,Willowweed
Cyperus lancastriensis,Yellowstone National Park,251,Vascular Plant,"Many-Flowered Umbrella-Sedge, Umbrella-Sedge",Not Threatened,True,0,44,Umbrella-Sedge
Pseudotsuga menziesii var. menziesii,Bryce National Park,112,Vascular Plant,"Coast Douglas-Fir, Douglas-Fir",Not Threatened,True,0,30,Douglas-Fir
Solidago hispida,Great Smoky Mountains National Park,59,Vascular Plant,"Hairy Goldenrod, Yellow Hairy Goldenrod",Not Threatened,True,0,39,Goldenrod
Elgaria multicarinata webbii,Bryce National Park,72,Reptile,San Diego (Southern) Alligator Lizard,Not Threatened,True,0,37,Lizard
Sonchus asper,Yosemite National Park,136,Vascular Plant,"Spiney-Leaved Sonchus, Spiny-Leaf Sowthistle",Not Threatened,True,0,44,Sowthistle
Pleopeltis polypodioides,Bryce National Park,94,Vascular Plant,Resurrection Fern,Not Threatened,True,0,17,Fern
